[0.00 - 8.48]  皆さん、来ていただきありがとうございます。
例えば、Facebookのプラットフォームがすべてのアプリで構成されていたとき、Facebookは異なるアプリがあることを発見するのをかなりうまく行っていました。たとえば、あなたの友達がFarmvilleをプレイしているなら、あなたもFarmvilleをプレイしたくなるかもしれません。そのようなことです。
だから私たちはNostraエコシステムの中でお互いを支え合う方法を見つけなければなりません。そして、これらの異なるアプリの発見を容易にする方法、そして友達が使用しているものを見つけるのをもっと簡単にする方法を考える必要があります。
そして、それを使い始めるために移行するのです。
しかし、私たちが発見した驚くべきことの一つは、NSECをコピーして安全な場所に置くことは、非技術的なユーザーにとっては難しくないということでした。
[1817.40 - 1820.80] ウェブブラウザにそれを入れるのは少し危険ですが、Chrome拡張機能を設定するのも少し危険で難しいです。しかし、アプリを1つのモバイルアプリから別のアプリにコピーするのは、NSECのように難しくありませんでした。
[1830.00 - 1832.32] これは人々にとって難しい概念ではありませんでした。
[1832.32 - 1836.50] 公開暗号化を理解している人々にとっては難しい概念です。
[1836.84 - 1840.30] ウォレットについて考える人々にとっては難しい概念です。
[1841.24 - 1848.40] なぜなら、もし何が起こっているかを理解しているなら、「おお、何をしているの？」と思うでしょう。
[1849.42 - 1857.46] しかし、何が起こっているかを知らなければ、「これは1つのアプリから別のアプリに入れる魔法の文字列だ」と思うでしょう。
[1857.46 - 1860.00] 突然、私のすべてのデータやすべてが。
[1860.00 - 1866.08] 他のアプリにあるのです。まるで魔法の接続文字列のようです。
[1866.08 - 1876.08] だから、私たちはこのことに対して過度に心配しすぎたと思います。私たちは、この混沌とした状況を受け入れる必要があります。さて、Nostraについてとても興奮しているとはいえ、私たちが大きなエコシステムのどこにいるのかを非常に明確にしたいと思います。いくつかの統計を引き出しました。
[1889.50 - 1890.00] 何が起こっているのかを知るのは難しいです。
[1890.00 - 1898.54] Nostraエコシステムでのアクティブユーザー数はこれです。7月には、18,000人に近かったです。8月には少し減少しました。週ごとのアクティブユーザー数では、平均で約40,000人の週次アクティブユーザーがいます。私たちは本当に何人のユーザーがいるのかは分かりません。なぜなら、ソーシャルメディアを使うほとんどの人は何も投稿しないからです。彼らは何も公開せず、
[1919.66 - 1920.00] いいねも押さず、返信もしません。これは完全に消費者体験です。だから、これらの統計の中では、そのユーザーは見えません。さて、他のプラットフォームのいくつかを見てみましょう。これはBlue Skyのユーザー数です。そして、まず第一に、これはより高いことがわかります。ログインしている人数は不明ですが、いいねの数もわかりません。大体、[1949.54 - 1950.00] 20万人がアクティブで何かをしているようですが、グラフの動き方を見てください。Blue Skyは多くの報道を受けて、多くの人がサインアップし、何かが起こり、スパイクがあり、その後徐々に減少します。私たちのユーザーグラフを見てください。私たちはそれほど高くはありませんが、特定のイベントのためにスパイクすることはありません。多くの報道や注目を得ていません。私たちは有機的に成長しています。そして、私にとって、それは本当にポジティブなことです。
[1986.84 - 1994.26] 40,000人ではなく、数十万人のユーザーがいたらいいのにと願っています。Lensは、もう一つのEthereumベースの分散型ソーシャルメディアネットワークです。これはScuttlebuttからもインスパイアを受けています。そして、彼らの成長を見てみると、実際には一貫して縮小しています。
[2007.50 - 2010.12] これは彼らが...
[2010.00 - 2017.60] Farcasterに追い越されたからだと思います。Farcasterは、まさに同じコミュニティの早期採用者たちです。しかし、Farcasterは数ヶ月前に1億5000万ドル以上のベンチャーキャピタルを調達しており、その開発はBlue Skyよりもさらにオープンではありません。彼らの利用状況を見ると、正しい方向には向かっていません。
[2032.00 - 2037.92] では、Nostraの現在の方針はどこにあるのでしょうか？ 現在、私たちはNosterを1つの大きなコミュニティとして設計しています。さまざまな言語で運営されていますが、本質的にはビットコインユーザーです。そして、これを見れば、ビットコインについての多くの話があります。
[2052.14 - 2059.82] しかし、Nosterに関して言えば、ビットコインは一つの機能です。ザップは機能です。彼らはあなたに2つのことを提供します。
