[0.00 - 0.88]  こんにちは、こんにちは。
そして、一部の人々は写真やビデオをホストしたくない、コンテンツのモデレーションの問題があるので、もし望むなら、それらをオフにすることもできます。同様に、音声もそうです。リレーオペレーターにとって心地よい体験を提供することが重要です。なぜなら、彼らは結局のところネットワークのバックボーン、すなわちサーバーオペレーターだからです。そしてここには、さまざまな種類の番号ごとの統計があり、異なる新しいNostraアプリのトレンドを追跡することができます。新しいアプリは新しい種類の番号を持つ傾向があるので、それがここでの主なポイントです。そして、これがパネルの内容です。また、ライトモードもあります。すべての人にとって少しのフラッシュバンのようなものです。そうですね、これが始まりです。そして、このリレーをすべてのタイプのファイルを保存する能力を持って構築したので、ちょっとした分散型のDropboxを作ることにしました。これがNosterBoxです。まだリリースされていませんが、たぶん2週間以内に出る予定で、かなり進んでいます。そして、皆さんにその見た目をお見せします。ここでプライベートキーでログインします。そして、後で他のこともサポートしたいと思っています。たぶんBitTorrentのようなものですので、少しサイドパネルがあります。しかし、ここから始まります。リレーを追加するところです。最初から始めましょう。ああ、そして上部には異なる2つのトランスポートプロトコルがあります。ところで、WebSocketの代わりにQUICをサポートすることもできます。QUICの方が少し速いですが、どちらも利用可能です。現在、これはHornetストレージリレーに接続しています。これはNosterBoxアプリです。そして接続されました。さあ、Dropboxで行うようにファイルをアップロードします。そして右上を見ると、アップロード中であることがわかります。アップロードされました。グリッドビューまたはリストビューを選択できます。新しいフォルダーを作成することもできます。そして、これらすべてはNostra Notesで追跡されています。私たちはNIP 96をフォークしました。これはメタデータNostra Noteです。Willがそれをサポートするのを見たことがあります。これは非常に良い、シンプルなノートであり、複数のタイプのファイルストレージを統合できると思います。したがって、BlossomとサインアップMerkleツリー、さらにはトレントもサポートしています。それに関するドキュメントも非常にすぐにリリースします。しかし、ここには受信アドレスがあります。これは、Nostraリレーにデータを保存するための支払い方法です。そうすれば、Microsoftや、あなたのものを人質に取るようなすべての企業に支払う必要はありません。切り替えることができます。今やデータストレージのための自由市場のようなものです。Nostraはテキストを超えて本当に成長し始めています。これがその証拠です。これは基本的にトランザクションを送信しているだけです。Neutrinoウォレットを使用します。それにはコンパクトブロックフィルターがあり、あなたのIPに対してよりプライバシーに優しいです。そして、ここが接続しているリレーであり、サポートしているNIPがあります。さらに、それにサブスクライブすることもできます。月額サブスクリプションのようなこともできます。そして、私たちはすぐにリリースするNIPを構築しました。基本的に、OsterNoteとして請求書を発行し、それを支払うことができるようになります。
請求書を支払うと、リレー パネルに表示されるようになります。これにより、支払い済みのリレー プロセスが自動化されます。そうですね、これが NostraVox です。私たちがこのプロジェクトを始めた理由は、分散型 GitHub の開発に取り組むためでした。そして、リレーが完成し、ファイルの保存ができるようになったので、分散型 GitHub の進捗をついにお見せできる準備が整いました。私たちは、これらのファイルを保存するのと同じ方法で、Hornet ストレージリレー上に Sionic Merkle ツリーを用いて Git ツリーを保存しています。Blossom Blobs は素晴らしいですが、Merkle ツリーが防ぐ遅延攻撃のリスクのために、より小さなファイルに適しています。では、早速、私たちが約2年半かけて取り組んできたものをお見せしましょう。こちらが Nestor です。デスクトップアプリで、Electron アプリです。Twitter と GitHub を組み合わせたようなものです。右側には、フィードをオンオフできるトグルがあり、コードトグルを使うと GitHub 関連のコンテンツが見え、ソーシャルは通常のメモ、メディアは分散型の動画や写真などです。私たちはそれを見ながら、さまざまな部分を説明していきますが、確かにより多くの要素が含まれています。ここでフィードをスクロールでき、ポストをオフにすると、フィードにリツイートが表示されなくなります。アルゴリズムのマーケットプレイスが未来だと思いますが、トグルはフィードをフィルタリングするためのシンプルな方法だと思います。これは素晴らしいですね。こちらは誰かのプロフィールです。検索機能は非常にうまく機能しています。信頼のWebに基づく検索で、キーワードを検索しています。こちらが Nestor Tester のプロフィールです。ちょっとした猫がいます。右側の宝石はなかなかクールで、ピン留めしたツイートのように、最も人気のあるコンテンツを見せるための小さな機能を追加しました。ここからリポジトリに移動します。これがあなたのプロフィールにアクセスしますが、今は小さなコードセクションがあります。こちらがリポジトリですので、ファイルを開くことができます。ファイルを編集することもできます。GitHub と同じです。ここでは、問題を作成することができます。サブ問題も追加したので、Noster の人々からの良いアイデアでした。これは素晴らしいと思いました。GitHub にはサブ問題がありません。ここで、作成する問題に人を割り当てることができ、検索に使用するのと同じメカニズムを使って、ラベルを追加したり、ラベルを作成したりすることができます。これらはリポジトリに追加できる小さなラベルで、保存しておくことができ、後で小さなインデックスを持っておくことができます。ここにあるのは、非常にクールな ZapRaisers です。
基本的に、[640.02 - 642.02] ある問題を[642.02 - 643.74] これらのZapRaisersの1人に割り当てて、[643.74 - 645.88] クラウドファンディングを試みることができます。[645.88 - 648.00] もし十分なお金が集まれば、[648.00 - 649.42] もしかしたら誰かが実際に[649.42 - 651.66] 問題を解決し、[651.66 - 653.66] 報酬を得るかもしれません。ここが[653.66 - 654.88] PRセクションです。[656.94 - 658.00] 人々はプルリクエストの下で[658.00 - 659.60] 会話をすることができます。[659.60 - 659.98] プルリクエストに関与するコミット、変更、親、異なるファイルを[660.00 - 689.56] 確認できます。[689.56 - 690.00] それらを折りたたんで確認することができます。[690.00 - 698.12] ここで変更をレビューし、コメントを書いたり、プルリクエストを承認したりすることができます。[708.14 - 714.02] そして、ここには大企業向けに、[714.02 - 716.74] さまざまな開発者がいるカンバンボードがあります。[716.74 - 720.00] あなたたちは、そのホワイトボードの1つにサインして、タスクを割り当てたり、進行中のものを管理したりできます。[723.74 - 734.16] それはすべてNostra Notes上で動いています。ここでプルリクエストを作成し、[734.16 - 736.16] 人々を割り当てることができます。問題を作成するのと同じように。[750.00 - 757.50] さて、これがUIの側面でした。しかし、バックエンドには非常に重要な[757.50 - 763.56] ノートがありますので、いくつか述べたいと思います。その後、CLIの簡単なデモをお見せします。[763.56 - 773.26] 多くの人々はNostrに対するGitHubのパッチに注目してきました。しかし、[773.26 - 780.00] パッチの問題は、コミットハッシュやタグ、[780.00 - 783.16] コミットを行った人の著者情報が[783.16 - 785.26] Gitツリー内に保存されないことです。[785.58 - 787.22] もちろん、そういった情報を[787.22 - 788.98] 外部のNostraNoteに書くことはできますが、[789.26 - 790.92] 実際にはGitツリーの中には存在しません。[790.92 - 793.16] そして、実際のGitツリーの[793.16 - 794.62] 完璧な一貫性を達成したい場合、[794.62 - 796.70] それを暗号的に検証可能な方法で実現したいのです。[796.70 - 799.30] Gitツリーのハッシュが完全に一致することで、[799.78 - 801.92] すべての検証がはるかに簡単になります。[802.46 - 805.04] それを達成したいのです、わかりますか？[805.58 - 808.20] ここで、私たちがそれをどのように実現したかをお見せします。[808.20 - 810.20] これはエソテリックな...[810.00 - 816.90] 一般的な新しいGitコマンド、Gitバンドルと呼ばれるもので、個々のプッシュを[816.90 - 823.60] パックファイルに変換することができます。これは通常Gitが動作する方法です。そして、パックファイルをリレーに送信すると、[823.60 - 830.76] それからプルしてコミットを統合しつつ、コミットハッシュやタグ、[830.76 - 835.38] 著作権を保持することができます。これにより、完璧な一貫性が実現されます。ここで、[835.38 - 840.00] 簡単な並べて表示するものをお見せします。左側にはプッシュを行っているユーザーがいます。[840.00 - 843.16] 右側にはHornetストレージリレーがあります。[843.16 - 845.70] 私たちはこの権限システムをAirlockと呼んでいます。なぜなら、[845.70 - 849.42] 入る前にその人を認証するようなものだからです。[849.42 - 851.28] これはすべてNostra Notesでも機能します。[851.28 - 853.34] しかし、ここで[853.34 - 856.36] 何が起こるのかのワークフローが見られます。[856.36 - 858.56] Airlockが右側で開始されます。[862.92 - 864.68] そして、ここで私たちはキーを設定し、[864.68 - 867.04] Nostraキーをインポートします。[867.04 - 869.92] その後、セッションのためにそれを解除します。[869.92 - 870.42] さあ、行きましょう。[870.00 - 873.60] 通常は約72時間メモリに保持されます。[873.60 - 877.06] ここで新しいリポジトリを作成します。[877.06 - 879.48] そして、これはすべてgitヘルパー関数を使用しており、[879.48 - 882.92] 背後ではgit nestor CLIを使用していますが、すべて通常のgitです。
[885.64 - 890.92]  では、リポジトリに移動して、私たちのキー、最初のコマンドで作成したNosterキーを割り当てます。
[890.92 - 893.60]  次に、リモートとしてエアロック、リレーを追加します。
[893.60 - 896.44]  これは、GitHubを追加するのと同じようなものです。
[896.44 - 900.00]  ここで、ファイルをステージに追加し、最初のコミットを行い、それをプッシュします。
[900.00 - 910.48]  右側には、バンドルファイルがどのように受信されたかが表示されます。
[910.48 - 917.94]  その後、三行下には、バンドルファイルから変更を取得してメインブランチに配置する様子が見えます。
[917.94 - 923.04]  コミットハッシュはすべて完全に一致しています。Gitツリーは完全に同期されています。だから、これは非常に難しいタスクだったと思います。
[923.04 - 928.88]  昨年の私たちの元々の計画は、Gitフォルダを文字通りMerkleツリーに変換し、ルートに署名することでしたが、うまくいきませんでした。
[928.88 - 930.00]  したがって、私たちは一貫性を達成するための別の方法を見つける必要がありました。幸運なことに、バンドルファイルが私がNosterでスクロールしているときに登場しました。
[930.00 - 936.20]  完全な偶然です。Hacker Newsでそのことに関するブログ記事を見かけました。
[936.20 - 942.12]  それを見て、「これが完璧な一貫性を達成するのではないか」と思いました。
[942.12 - 946.18]  なぜなら、それはパッチよりもはるかに新しいものでした。
[946.18 - 952.78]  それは2018年のものでした。
[952.78 - 959.40]  たくさんの試行錯誤の末、ついにうまくいきました。
[959.40 - 960.00]  そう、これは本当に長い道のりでしたが、
[960.00 - 962.14]  次の2、3週間で、完全にフロントエンドに統合され、
[962.14 - 964.18]  完全にリリース可能になると思います。
[964.40 - 965.80]  それについて本当に興奮しています。
[965.80 - 966.76]  しかし、私が去る前に、
[966.76 - 968.82]  もう一つ、出力に関することを皆さんに見せたいことがあります。
[968.82 - 970.52]  それはボックスモデルに関することです。基本的に、アウトボックスモデルは本当にクールですが、もう少し改善できる方法があると思います。
[970.52 - 975.12]  右下には無限に続くロードバーがあります。これは、Nostraノートが不足しているときに時々発生します。例えば、
[975.30 - 976.76]  私があなたがいるのと同じNostraリレーにいない場合、私はあなたの投稿を見ることができないことが多いです。
[976.80 - 978.90]  特に私のリレーが同期していない場合はそうです。アウトボックスモデルの考え方は、正直なところ非常に巧妙です。
[978.90 - 982.26]  それに慣れるまで少し時間がかかりましたが、皆さんは良い点を挙げました。
[982.50 - 984.78]  そのアイデアは、他の人のリレーに連絡してデータを取得することです。
[984.78 - 990.00]  自分のリレーから常にデータを取得しようとするのではなく、これは素晴らしいですが、時々他の人の最新のリレーリストを取得するのは難しいです。
[990.00 - 997.28]  もし私があなたのリレーリストを知らなければ、どうやってそれらに連絡を取ることができるのでしょうか？アウトボックスモデルでは、NIPCと呼ばれるものを作成することでこれを解決しようとしました。
[997.28 - 1003.14]  NIPC 65はミニリレーリストのようなもので、2つのリレーが含まれています。その目標は、この小さなリストをできるだけ多くのリレーに広めることです。
[1003.14 - 1008.28]  しかし、時にはこれらのリレーが互いに通信していないこともあります。全く異なる国にいることがあり、お互いの存在すら知らないのです。
[1008.28 - 1013.96]  したがって、NIP 65ノードはすべての人に届きません。このNIP 65ノードをBitTorrent DHTに配置するのがアイデアです。
[1013.96 - 1020.10]  なぜなら、BitTorrent DHTには1000万ノードがあり、すべての他のノードがDHTを使用してお互いを見つけやすくすることが目的だからです。
彼らは近くのノードの位置を管理するためのBツリーのようなものを持っていて、これはお互いを発見するために設計されています。基本的に、DHT上に1000バイトのファイルを無料で公開することができます。好きなだけです。通常、人々は2時間ごと、またはそれ以上の間隔で再公開します。しかし、あなたはDHTにリレーリストを置くだけで済みます。そして、誰かがあなたのリレーを見つけたいとき、彼らはあなたのDHTキーを必要とし、DHTから瞬時にそれを取得し、必要なデータを引き出すことができます。欠けているノートは引き出すことができるので、単にスニップ65ノートがすべてのリレーに広がることを期待するよりも、少しだけ耐障害性があります。なぜなら、時々、リレーは他のリレーが存在することすら知らないからです。DHTは、彼らが互いに認識できるようにして、あなたにアクセス可能になるようにします。そうですね、これでアウトボックスモデルが完成し、洗練されると思います。技術的な話はこれで終わりです。チームに感謝の言葉を伝えたいです。私たちの中には多くの人がこの作業を行ってきました。アメリカにいるメンバーもいれば、イギリスのアダム、そしてインドネシアのクリスがいます。クリスはDHTのために本当に頑張ってくれました。サプイはリレーを別のレベルに引き上げました。そして、最近マーティ・マウミが私たちに参加し、非常に助けてくれました。私たちは、彼のアイデアをNosterボックスやカンバンボードに多く使用することになりました。そして、サイファーは私たちの仮名です。彼がどこにいるのかはわかりませんが、プロジェクトに参加してくれて良かったです。本当にありがとうございました。
