[0.00 - 6.24] パブロがこのパネルを進行しています。
はい、私は新しいものを発表したり、何か作業をしているとき、例えば新しい仕様や新しい製品など、たくさんの反応をもらいます。「おお、君がプロトコルのためにやっていることはすごいね」とか、「私は何ができるか、どう手助けできるか、君が取り組んでいることをできるようになりたい」といった質問が多いです。私にとって、製品があってもそれを使う人々がいなければ意味がないと思います。製品の背後にいる人々、つまりその製品を使っている人々が、その製品の生命線です。プロトコルとやり取りをし、すべてのツールを使い、あなたがそこにいることでエネルギーをもたらすことが、私にとって最も重要な部分です。数日前にあなたが言ったことを実際に思い出しました。「Nostraを促進する方法は、Nostraを使うことだ」と。単にそのものを使うことです。私たちができることの一つは、マーケティングの取り組みよりもずっと良いことで、特に他のすべてのものを使うことです。私たちが持っているツールやアプリケーションの全体に命を吹き込むことです。私たちは非常に豊かなエコシステムを持っています。もしあなたがジャックでないのなら、開発者を支援する最良の方法の一つは、そのものを使い、フィードバックを与え、バグを見つけることです。これは、毎週や毎日数十時間もコードベースに取り組んでいる開発者にとって非常に重要です。そして、誰も気にかけないのです。それは命を吹き込み、その体験をもたらすことです。露出は非常に価値があります。実際、非常にクールなことの一つは、フィードバックのメカニズムが、あなたがプロトコルを使うことであるということです。もし問題に直面したら、それ自体がNostraNoteになり得ますよね？はい、はい、100％。私は、開発者が言ったり、ユーザーが「このアプリケーションはこのことができる」と言ったりする方法に関する多くのアイデアを持っています。そして、私たちはそれをプロトコル自体の中で非常にシンプルな方法で実現できます。「私は〇〇をサポートしている」と言って、Vitorが「プロトコル内で、アメジストはライブストリームをサポートしている」と言うことができ、もしバグがあれば、そのイベントに応答し、会話を持つことができます。「いや、あなたのものは壊れてるよ、マジで。」私は実際に、KieranがライブチャットでZapStreamのデバッグをしているのを見たことがあります。私たちがライブの間にです。それは究極の「やってみよう」です。特別なものです。それは非常に稀です。人々はこのコミュニティがどれだけ素晴らしいかを本当に理解していないと思います。それはコミュニケーションプロトコルであるため、私たちは実際にライブでそれを行うことができるのです。そう、私たちはこの会話に関して非常に厳格な計画を持っていましたが、完全にそれから逸脱しました。私たちはただこれをライブで行うつもりです。レポートを送り返してください。
何を言っているのかというと、この部屋のエネルギーを高める必要があると思います。みんな、あと5時間しかないので、その後はパーティーをする予定です。Nostrについて最も楽しみにしていることは何ですか？私は、私たちが大切にしているものに隣接するコミュニティを引き寄せることに非常に興奮しています。コミュニティはビットコインで根付いていて、ビットコインの価値を意味します。これは、ソフトウェアの一部が浸透する価値を持つことがクールだと思います。私は、そのコミュニティにいる、こうした価値を共有する人々を引き入れることにとても興奮しています。彼らは検閲抵抗についてあまり気にしていませんが、彼らが気にするような共有の価値があるのです。私にとって、彼らの痛点を理解し、個別に話しかけることが大事です。プロトコルとしてマーケティングプランを作ろうというのではなく、私の頭の中は二つの異なる方向に進んでいます。まず、ラボのプレゼンテーション中に、私はビットコインの信者としての立場を持っていましたが、ノストリッジの信者になる前は、ビットコインが大好きでした。人々がビットコインを嫌っているという考えは私にとっては異質なもので、ラボのプレゼンテーションを聞いた後はそれを完全に尊重し理解しています。彼をビットコインに引き込むというアイデアも好きです。彼は「ザップ」と呼ぶつもりで、文脈を与えないようにします。単にあなたの投稿に単位が上がっているという感じです。このアイデアは素晴らしいと思いますが、その一方で、ビットコイナーたちには非常に失望しています。ビットコインコミュニティは、ほとんどの人がツイッターで不安を抱えているだけのようです。マーティはそこにいるの？今、マーティはツイッターを見ていると思いますが、この部屋にはいないです。あなたもその失望を共有していますか？少しの失望やフラストレーションが頭の中にあるのでしょうか、それともただの私の燃え尽き症候群でしょうか？いや、私も燃え尽きていますので、その気持ちを共有します。ただ、優先順位の点で理解しています。Web3やNostrに似たことを言うことには多くのごまかしがあると思います。たとえば、ファーキャスターのように。あれは何ですか？ファーキャスター。試したことはありません。そうですね。意味がないです。エアドロップやそういうことにはいいかもしれませんが、無駄です。でも、ビットコイナーたちはファーキャスターを使っていないでしょう。いや、いや、いや。彼らはそのピッチを何度も聞いていますよね。ビットコイナーたちは、チェーンの状態に関して100%の合意が必要なので、それをすべてに拡張していると思います。だから、ソラナは決して分散的な方法で機能しないと言います。合意が保たれなければならないからです。そしてスループットが非常に高いため、分散化は決してできないというのです。確かにそうですが、そこまで分散化されていないのです。
[660.00 - 665.68]  合意が必要だと思うし、彼らは概念的には理解していると思う。だから、リレーが異なるデータを持つことは大丈夫だし、断片化が起こることも良いことだ。
[665.68 - 670.24]  しかし、彼らはそれが事実であることを本当に受け入れられない。それが、彼らがノースターについて抱えている多くの歪みの原因だと思う。そうだね、私は
[670.24 - 677.78]  彼らの会話の中で、ステージ上でティドウェルと話していたときのことを考えているが、ビットコインの競合については
[677.78 - 683.10]  技術的なビットコイン支持者に対して大きな敬意を持っていると思うが、彼らは完璧なものは存在しないという考えにとらわれがちだ。
[683.10 - 687.72]  彼らの頭の中では、すべてのエッジケースを考慮しようとする。理論的なものばかりで、実際にやってみようとしない。
[687.72 - 689.96]  それも無理はないが、技術的なビットコイン支持者の多くは非常に保守的だ。彼らはグローバルな金融ネットワークの基盤を構築しているのだから。
[690.00 - 696.30]  開発には非常に保守的であるべきだと思う。それに対して非技術的な側面は全く異なるもので、
[696.30 - 703.16]  それがこのエコシステムで働くのがとても楽しい理由の一つだ。
[703.16 - 707.58]  技術的なビットコイン側の話があって、
[707.58 - 712.40]  私たちは彼らを間違っていると証明するつもりだと思う。
[712.40 - 716.16]  彼らは主に良い意図から来ていると思う。
[716.16 - 720.00]  それから、ビットコインのツイッターインフルエンサーがいて、彼らは私たちの価値観をあまり共有していなくて、単にエンゲージメントのためにそこにいる。
[720.00 - 725.40]  彼らはそのエンゲージメントを手放したくない。
[725.40 - 727.88]  そして、私が多くの成功を収めたのは、彼らのエンゲージメントをターゲットにすることだ。
[727.88 - 729.48]  彼らの投稿に「いいね」をつけてリポストしているプレブたちを引き込むことだ。
[729.48 - 732.48]  リツイートはもう存在しないから、彼らがノースターに完全に移行させることができれば、彼らのエンゲージメントは低下し、私たちはその獣を餓死させることができる。
[732.48 - 738.32]  それがうまくいっていると思う。
[738.32 - 740.68]  私が聞くところによれば、ビットコインのツイッターでのエンゲージメントは大幅に減少していて、それは「最後までついていく」人たちがみんなノースターに移っているからで、インフルエンサーたちは後から移るだろう。
[740.68 - 743.16]  それで全然構わない。
[743.16 - 750.00]  私はそれが完全に問題ないと思う。
[750.00 - 765.90]  彼らは後れを取ることができる、そうだね。
[765.90 - 767.98]  そう、彼らは最後になればいい。
[768.56 - 777.36]  思考派の人たちはそのままでいい。
[777.72 - 778.86]  そう、彼らは彼らがふさわしい価格でノースターを持てるべきだよね？
[778.86 - 780.00]  その通り。
[780.76 - 781.94]  うん、そうだ。
[782.24 - 783.36]  さあ、行こう。
[783.56 - 784.90]  だから、彼らを餓死させることに参加してくれた皆さん、ありがとう。
[785.06 - 787.56]  あなたたち一人一人が違いを生み出している。
[787.88 - 788.28]  そう、そして一つ思うのは、私たちのエネルギーは、
[788.28 - 789.06]  限られた時間の中で発揮されるもので、
[789.10 - 789.88]  もしツイッターにエネルギーを注いでいるなら、
[792.34 - 795.42]  あなたは彼らを養っている。
[797.14 - 798.88]  ツイッターにエネルギーを注いでいるなら、
[799.98 - 803.46]  あなたはその製品になっている。あなたはその製品だ。
[803.68 - 805.46]  そして、あなたは共犯者だ。
[805.46 - 808.62]  あなたは彼らのビジネスモデルとその捕食的な
[808.62 - 809.88]  慣行を守っている。
[810.00 - 811.70]  そう、私はそう言っているわけではないが、
[811.76 - 813.42]  もしかしたらやらない方がいいかもしれない。税金を払うようなものだ、
[813.62 - 815.30]  あなたは敵を養っている。
[815.30 - 817.42]  私はアメリカ人ではないから、私は大丈夫だと思うが。
[817.42 - 819.18]  しかし、
[819.18 - 819.74]  あなたはその獣を養っている。
法の範囲内で、
税金をできるだけ少なく、場合によってはゼロにするために最善を尽くすべきです。そこには興味深いことがありますが、私に対してもうすぐ合図が鳴るようです。次のパネルも担当するのですが、合図が鳴っています。ここで言いたいことがあるのですが、ポールが先ほどここで話していたことについてです。彼は、異なるソーシャルメディアプラットフォームを利用する際に、各プラットフォームごとに異なる戦略を持たなければならないと話していました。そして、実際に影響力のある人たちは、単一のプラットフォームに焦点を当てることで成功することがあるという歴史的な事例があります。それは、彼らがそのプラットフォームの仕組みを理解し、本当に集中し、エネルギーや時間をそこに費やすからです。もし私たちが人々をノストラに移行させようとしているのであれば、ノストラに非常に集中することについて言えることがあります。その結果、実際にそれを体験し、一部となり、関与することができ、他のすべてのことに時間やエネルギーを奪われることがないのです。

はい、プラットフォーム内では、当然ですが、すべてのデータにアクセスすることはできません。なぜなら、データが多すぎるからです。したがって、TikTokやInstagram、Twitterに関しては、アルゴリズムが必要不可欠です。それは必須です。これらのプラットフォームでコンテンツを公開する人たち、インフルエンサーや誰でも、アルゴリズムへの唯一の入力は、あなたに「いいね」を押してもらったり、登録してもらったり、コメントしてもらったりすることです。YouTubeのサムネイルにあるバカみたいな顔もその一部です。それが彼らの唯一の入力です。彼らは非常に少ない権限しか持たないため、できることはそれだけです。すべての人が「いいね」、「コメント」、「登録してください」と言うことに減少してしまい、それはとても哀れです。

どうでしょうか。そんなに悪くはないですが、もしYouTubeでライブストリームを見ているなら、ぜひ「いいね」と「登録」をして、あなたの観 audienceと共有していただければと思います。それを本当に感謝します。パブロに大きな拍手をお願いします。
